Cowboys_&_Aliens_(2011), Jon_Favreau, Daniel_Craig, Harrison_Ford, Olivia_Wilde, Abigail_Spencer
Beneath_the_Planet_of_the_Apes_(1970), Ted_Post, James_Franciscus, Kim_Hunter, Maurice_Evans, Linda_Harrison
Small_Soldiers_(1998), Joe_Dante, Kirsten_Dunst, Gregory_Smith, David_Cross, Jay_Mohr
Waterworld_(1995), Kevin_Reynolds, Kevin_Costner, Jeanne_Tripplehorn, Dennis_Hopper, Tina_Majorino
Mystery_Men_(1999), Kinka_Usher, Ben_Stiller, Janeane_Garofalo, William_H._Macy, Hank_Azaria
Jumper_(2008), Doug_Liman, Hayden_Christensen, Samuel_L._Jackson, Jamie_Bell, Rachel_Bilson
Phantasm_III:_Lord_of_the_Dead_(1994), Don_Coscarelli, Reggie_Bannister, A._Michael_Baldwin, Bill_Thornbury, Gloria_Lynne_Henry
Transformers:_Revenge_of_the_Fallen_(2009), Michael_Bay, Shia_LaBeouf, Megan_Fox, Josh_Duhamel, Tyrese_Gibson
Eraser_(1996), Charles_Russell, Arnold_Schwarzenegger, Vanessa_Williams, James_Caan, James_Coburn
Escape_from_Absolom_(1994), Martin_Campbell, Ray_Liotta, Lance_Henriksen, Stuart_Wilson, Kevin_Dillon
Doomsday_(2008), Neil_Marshall, Rhona_Mitra, Bob_Hoskins, Alexander_Siddig, Caryn_Peterson
Krull_(1983), Peter_Yates, Ken_Marshall, Lysette_Anthony, Freddie_Jones, Francesca_Annis
Immortal_(Ad_Vitam)_(2004), Enki_Bilal, Linda_Hardy, Thomas_Kretschmann, Charlotte_Rampling, Yann_Collette
Conquest_of_the_Planet_of_the_Apes_(1972), J._Lee_Thompson, Roddy_McDowall, Don_Murray, Ricardo_Montalban, Natalie_Trundy
Infestation_(2009), Kyle_Rankin, Chris_Marquette, Brooke_Nevin, Kinsey_Packard, E._Quincy_Sloan
Iron_Sky_(2012), Timo_Vuorensola, Julia_Dietze, Christopher_Kirby, Götz_Otto, Udo_Kier
Men_in_Black_II_(2002), Barry_Sonnenfeld, Tommy_Lee_Jones, Will_Smith, Rip_Torn, Lara_Flynn_Boyle
Critters_(1986), Stephen_Herek, Dee_Wallace, M._Emmet_Walsh, Billy_Green_Bush, Scott_Grimes
Deep_Rising_(1998), Stephen_Sommers, Treat_Williams, Famke_Janssen, Anthony_Heald, Kevin_J._O'Connor
Jimmy_Neutron:_Boy_Genius_(2001), John_A._Davis, Debi_Derryberry, Rob_Paulsen, Megan_Cavanagh, Mark_DeCarlo
The_Black_Hole_(1979), Gary_Nelson, Maximilian_Schell, Anthony_Perkins, Robert_Forster, Joseph_Bottoms
The_Brothers_Grimm_(2005), Terry_Gilliam, Matt_Damon, Heath_Ledger, Monica_Bellucci, Petr_Ratimec
Guyver:_Dark_Hero_(1994), Steve_Wang, David_Hayter, Kathy_Christopherson, Bruno_Patrick, Christopher_Michael
Dead_Heat_(1988), Mark_Goldblatt, Treat_Williams, Joe_Piscopo, Lindsay_Frost, Darren_McGavin
Soldier_(1998), Paul_Anderson, Kurt_Russell, Jason_Scott_Lee, Jason_Isaacs, Connie_Nielsen
Teenage_Mutant_Ninja_Turtles_II:_The_Secret_of_the_Ooze_(1991), Michael_Pressman, Paige_Turco, David_Warner, Michelan_Sisti, Leif_Tilden
Universal_Soldier_(1992), Roland_Emmerich, Jean-Claude_Van_Damme, Dolph_Lundgren, Ally_Walker, Ed_O'Ross
Dark_Angel_(1990), Craig_R._Baxley, Dolph_Lundgren, Brian_Benben, Betsy_Brantley, Matthias_Hues
Battleship_(2012), Peter_Berg, Alexander_Skarsgård, Brooklyn_Decker, Liam_Neeson, Rihanna
The_Green_Hornet_(2011), Michel_Gondry, Seth_Rogen, Jay_Chou, Christoph_Waltz, Cameron_Diaz
My_Science_Project_(1985), Jonathan_R._Betuel, John_Stockwell, Danielle_von_Zerneck, Fisher_Stevens, Raphael_Sbarge
Resident_Evil:_Afterlife_(2010), Paul_W.S._Anderson, Milla_Jovovich, Ali_Larter, Wentworth_Miller, Kim_Coates
The_One_(2001), James_Wong, Jet_Li, Carla_Gugino, Delroy_Lindo, Jason_Statham
Runaway_(1984), Michael_Crichton, Tom_Selleck, Cynthia_Rhodes, Gene_Simmons, Kirstie_Alley
The_Postman_(1997), Kevin_Costner, Kevin_Costner, Will_Patton, Larenz_Tate, Olivia_Williams
The_Time_Machine_(2002), Simon_Wells, Guy_Pearce, Yancey_Arias, Mark_Addy, Phyllida_Law
Jurassic_Park_III_(2001), Joe_Johnston, Sam_Neill, William_H._Macy, Téa_Leoni, Alessandro_Nivola
The_6th_Day_(2000), Roger_Spottiswoode, Arnold_Schwarzenegger, Michael_Rapaport, Tony_Goldwyn, Michael_Rooker
Blade:_Trinity_(2004), David_S._Goyer, Wesley_Snipes, Kris_Kristofferson, Parker_Posey, Ryan_Reynolds
The_Barony_(1975), Robert_Clouse, Yul_Brynner, Max_von_Sydow, Joanna_Miles, William_Smith
Firefox_(1982), Clint_Eastwood, Clint_Eastwood, Freddie_Jones, David_Huffman, Warren_Clarke
Hunting_the_Phantom_(2014), Marina_Kunarova, Kristanna_Loken, Armand_Assante, Rich_Paul, Jose_Rosete
Fortress_(1992), Stuart_Gordon, Christopher_Lambert, Loryn_Locklin, Kurtwood_Smith, Clifton_Collins_Jr.
Repeaters_(2010), Carl_Bessai, Dustin_Milligan, Amanda_Crew, Richard_de_Klerk, Alexia_Fast
Gamer_(2009), Neveldine, Taylor, Gerard_Butler, Michael_C._Hall, Ludacris, Amber_Valletta
World_Invasion:_Battle_LA_(2011), Jonathan_Liebesman, Aaron_Eckhart, Michelle_Rodriguez, Bridget_Moynahan, Ramon_Rodriguez
Journey_2:_The_Mysterious_Island_(2012), Brad_Peyton, Josh_Hutcherson, Dwayne_Johnson, Michael_Caine, Luis_Guzmán
August._Eighth_(2012), Dzhanik_Fayziev, Svetlana_Ivanova, Maksim_Matveyev, Egor_Beroev, Artyom_Fadeev
Journey_to_the_Centre_of_the_Earth_(2008), Eric_Brevig, Brendan_Fraser, Josh_Hutcherson, Anita_Briem, Seth_Meyers
2012_(2009), Roland_Emmerich, John_Cusack, Thandie_Newton, Chiwetel_Ejiofor, Amanda_Peet
G.I._Joe:_The_Rise_of_Cobra_(2009), Stephen_Sommers, Dennis_Quaid, Channing_Tatum, Marlon_Wayans, Adewale_Akinnuoye-Agbaje
Timecop_(1994), Peter_Hyams, Jean-Claude_Van_Damme, Mia_Sara, Ron_Silver, Bruce_McGill
Mortal_Kombat_(1995), Paul_Anderson, Christopher_Lambert, Robin_Shou, Linden_Ashby, Cary-Hiroyuki_Tagawa
Species_(1995), Roger_Donaldson, Natasha_Henstridge, Michael_Madsen, Ben_Kingsley, Alfred_Molina
The_League_of_Extraordinary_Gentlemen_(2003), Stephen_Norrington, Sean_Connery, Stuart_Townsend, Peta_Wilson, Jason_Flemyng
Race_to_Witch_Mountain_(2009), Andy_Fickman, Dwayne_Johnson, Carla_Gugino, AnnaSophia_Robb, Alexander_Ludwig
Deep_Blue_Sea_(1999), Renny_Harlin, Thomas_Jane, Saffron_Burrows, Samuel_L._Jackson, Jacqueline_McKenzie
Green_Lantern_(2011), Martin_Campbell, Ryan_Reynolds, Blake_Lively, Peter_Sarsgaard, Mark_Strong
Digimon:_The_Movie_(2000), Mamoru_Hosoda, Shigeyasu_Yamauchi, Lara_Jill_Miller, Joshua_Seth, Bob_Papenbrook, David_Lodge
Priest_(2011), Scott_Stewart, Paul_Bettany, Cam_Gigandet, Maggie_Q, Karl_Urban
Fantastic_Four_(2005), Tim_Story, Ioan_Gruffudd, Michael_Chiklis, Chris_Evans, Jessica_Alba
Star_Wars:_The_Clone_Wars_(2008), Dave_Filoni, Matt_Lanter, Nika_Futterman, Tom_Kane, Ashley_Eckstein
Planet_of_the_Apes_(2001), Tim_Burton, Mark_Wahlberg, Helena_Bonham_Carter, Tim_Roth, Michael_Clarke_Duncan
Hollow_Man_(2000), Paul_Verhoeven, Kevin_Bacon, Elisabeth_Shue, Josh_Brolin, Kim_Dickens
Class_of_1999_(1990), Mark_L._Lester, Bradley_Gregg, Traci_Lind, Malcolm_McDowell, Stacy_Keach
Hulk_(2003), Ang_Lee, Eric_Bana, Jennifer_Connelly, Sam_Elliott, Josh_Lucas
RoboCop_2_(1990), Irvin_Kershner, Peter_Weller, Belinda_Bauer, John_Glover, Mario_Machado
Fantastic_4:_Rise_of_the_Silver_Surfer_(2007), Tim_Story, Ioan_Gruffudd, Jessica_Alba, Chris_Evans, Michael_Chiklis
Nemesis_(1992), Albert_Pyun, Olivier_Gruner, Tim_Thomerson, Cary-Hiroyuki_Tagawa, Merle_Kennedy
Red_Planet_(2000), Antony_Hoffman, Val_Kilmer, Carrie-Anne_Moss, Tom_Sizemore, Benjamin_Bratt
Tetsuo:_The_Bullet_Man_(2009), Shin'ya_Tsukamoto, Eric_Bossick, Akiko_Monô, Yûko_Nakamura, Stephen_Sarrazin
7_Aum_Arivu_(2011), A.R._Murugadoss, Suriya, Shruti_K._Haasan, Johnny_Nguyen, Abhinaya
The_Ice_Pirates_(1984), Stewart_Raffill, Robert_Urich, Mary_Crosby, Michael_D._Roberts, Anjelica_Huston
Escape_from_L.A._(1996), John_Carpenter, Kurt_Russell, Steve_Buscemi, Stacy_Keach, Peter_Fonda
Lake_Placid_(1999), Steve_Miner, Bridget_Fonda, Bill_Pullman, Oliver_Platt, Brendan_Gleeson
Timeline_(2003), Richard_Donner, Paul_Walker, Gerard_Butler, Billy_Connolly, Frances_O'Connor
The_Human_Race_(2013), Paul_Hough, Paul_McCarthy-Boyington, Eddie_McGee, Trista_Robinson, T._Arthur_Cottam
No_One_Lives_Forever_(2012), Joseph_Villapaz, Anna_Landreth, Warren_Bub, Roman_Limonta, Kristin_Bellamarie
Babylon_A.D._(2008), Mathieu_Kassovitz, Vin_Diesel, Michelle_Yeoh, Mélanie_Thierry, Lambert_Wilson
Mighty_Joe_Young_(1998), Ron_Underwood, Bill_Paxton, Charlize_Theron, Rade_Serbedzija, Peter_Firth
AVP:_Alien_vs._Predator_(2004), Paul_W.S._Anderson, Sanaa_Lathan, Lance_Henriksen, Raoul_Bova, Ewen_Bremner
Virtuosity_(1995), Brett_Leonard, Denzel_Washington, Russell_Crowe, Kelly_Lynch, Stephen_Spinella
Pokémon:_The_First_Movie_-_Mewtwo_Strikes_Back_(1998), Kunihiko_Yuyama, Michael_Haigney, Veronica_Taylor, Rachael_Lillis, Eric_Stuart, Philip_Bartlett
Chain_Reaction_(1996), Andrew_Davis, Keanu_Reeves, Morgan_Freeman, Rachel_Weisz, Fred_Ward
Johnny_Mnemonic_(1995), Robert_Longo, Keanu_Reeves, Dolph_Lundgren, Dina_Meyer, Ice-T
Æon_Flux_(2005), Karyn_Kusama, Charlize_Theron, Frances_McDormand, Sophie_Okonedo, Marton_Csokas
Night_Is_Day:_The_Movie_(2012), Fraser_Coull, Karen_Bartke, Kirsty_Anderson, Sean_P._Anderson, Bethany_Apedaile
Evolver_(1995), Mark_Rosman, Ethan_Embry, Cassidy_Rae, Nassira_Nicola, Chance_Quinn
Battle_for_the_Planet_of_the_Apes_(1973), J._Lee_Thompson, Roddy_McDowall, Claude_Akins, Natalie_Trundy, Severn_Darden
Silent_Rage_(1982), Michael_Miller, Chuck_Norris, Ron_Silver, Steven_Keats, Toni_Kalem
Spy_Kids_(2001), Robert_Rodriguez, Alexa_PenaVega, Daryl_Sabara, Antonio_Banderas, Carla_Gugino
Batman_Forever_(1995), Joel_Schumacher, Val_Kilmer, Tommy_Lee_Jones, Jim_Carrey, Nicole_Kidman
Mars_Needs_Mums_(2011), Simon_Wells, Seth_Green, Joan_Cusack, Dan_Fogler, Elisabeth_Harnois
Eight_Legged_Freaks_(2002), Ellory_Elkayem, David_Arquette, Kari_Wuhrer, Scott_Terra, Scarlett_Johansson
The_Core_(2003), Jon_Amiel, Aaron_Eckhart, Hilary_Swank, Delroy_Lindo, Bruce_Greenwood
Obitaemyy_ostrov_(2008), Fedor_Bondarchuk, Vasiliy_Stepanov, Yuliya_Snigir, Pyotr_Fyodorov, Sergey_Garmash
Black_Moon_Rising_(1986), Harley_Cokliss, Tommy_Lee_Jones, Linda_Hamilton, Robert_Vaughn, Richard_Jaeckel
Daredevil_(2003), Mark_Steven_Johnson, Ben_Affleck, Jennifer_Garner, Colin_Farrell, Michael_Clarke_Duncan
Volcano_(1997), Mick_Jackson, Tommy_Lee_Jones, Anne_Heche, Gaby_Hoffmann, Don_Cheadle
Terminal_Island_(1973), Stephanie_Rothman, Don_Marshall, Phyllis_Davis, Ena_Hartman, Marta_Kristen